track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
4N0XG7hGoVnUKI2kuRGN1u,Kisapmata,56,280946,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
0S3J3ba1wuytMDUyrTSEUk,Elesi,51,298720,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
3BqsUeCJGuMijPts9ynOzy,Hinahanap-Hanap Kita,51,358133,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
3FmJ9Ypk6g8b4IeYBGeBVa,Awit Ng Kabataan,45,289146,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
1xqv2O3UMOls1u8mBkBZyn,"Kung Ayaw Mo, Huwag Mo",46,222960,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
4ZcFwr9dULQB3ZFs89h5nZ,Ulan,48,268786,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
1jImST6hhs1EV45p78RBpM,Stay,56,235706,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
6s97fltVQXax4ZFkZJdGdP,Ulan,53,309066,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
6eYuYqJ9IqYWbH8rFhm7jC,Can't Let You Go,50,289733,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
36TmbWEYoNKtAk91ch8aY7,Sorry,46,282280,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
2wM7hjeO69ca2EjJMRyx8q,Binibini,0,274626,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
2bdRGO2GIiyP5WUfcRh8WL,Maling Akala,47,289173,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
3ljSgbje1smfadZ2vdeQF2,Akap,0,336640,6MXu7TWZnmykwkXiRJeUMh,Imago,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
3VcVQmMivq2ISfKUmIuvMK,Rainbow,63,347120,6ZgBJRjJsK1iOJGKGZxEUv,South Border,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
6XmskR1cMfgys1W7dExmgi,With a Smile (feat. Kelly Badon),61,264413,"['6ZgBJRjJsK1iOJGKGZxEUv', '32pTJUDIqu5vvX5McsyU26']","['South Border', 'Kelly Badon']",2,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
1Sbl2huF24dVleiJSHgQjT,Miss U,0,267226,3oP7ApvM9dvIXP6AufxCxt,Grin Department,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
7kVxCE4d8cqfTg5g3xC1BT,Skin,0,277093,3oP7ApvM9dvIXP6AufxCxt,Grin Department,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
63AWRNGp5CdVF9EHyb945T,Picture Mo Inday,0,183933,3oP7ApvM9dvIXP6AufxCxt,Grin Department,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
1zTAg1Pbf4Acs62W902w0m,Line To Heaven,43,199426,1O5rl0K2M7NDlfgE9ChFfq,Introvoys,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
6dS0Y9Qk6kQWZ5fHesesu9,Kailanman,38,213080,1O5rl0K2M7NDlfgE9ChFfq,Introvoys,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
0RuKJts1JYouywXPIFxJ58,Di Na Ko Aasa Pa,35,238213,1O5rl0K2M7NDlfgE9ChFfq,Introvoys,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
1NzsHeHZafk2Gg87YrJt20,Pangarap,0,235682,2cUM0BKXb6AP3CQAYK7xOw,Barbie's Cradle,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
0yBNB2Ba5Wdh2YDIVqZJTW,Your Love,50,328666,"['2f6fH7aJRhBYGGLrQobGwN', '74ZrVPO9hBg3o6j7g0OZ6u']","['Alamid', 'Jun Reyes']",2,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
2lmzx4Gm4KQgqvWUfM7ALK,Pinoy Ako,0,236826,1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
5x7c3QiILYNOmfT1pPQDTh,Superhero,0,206226,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
25kCMLe3K5Q7c0YTLX7H1e,Kahit Maputi Na Ang Buhok Ko,0,179053,13VRqzYJxIUpx67aASZADe,Soapdish,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
0k0pZT94pXnr43cEYaJFjd,Dahil Ikaw,0,292000,0JAk8pGB2tYvxWvmcMucDu,True-Faith,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
1y2gtD8XSBT3tDDlacWKqr,"Sorry Na, Pwede Ba?",45,220466,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
60NVHAUukGggCMUvqbRQE1,Maling Akala,0,255280,5cYJYBMg1n71v7cvthr1SO,The Itchyworms,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
1pCOnMdpm7cOkL8aWwGGk5,Cool Ka Lang,0,239026,2pur9EMyZL5ZYs9h8Fr0Vb,Prettier Than Pink,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
6ppQ4GJYN9PSp6MJkvkU18,"Banal Na Aso, Santong Kabayo",41,267920,0Ye2PrcotA6HHlA85yzAJB,Yano,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
6aDYL0klsShJ1NDScruk2G,Stars,56,233306,4HOEnLufwAqJ2qoJPVnL01,Callalily,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
5zMR44ZH4KVZj4FlhTj3SE,Magbalik,61,326813,4HOEnLufwAqJ2qoJPVnL01,Callalily,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
5YdzyRQJpBP6Ca3SP1e1dj,This Guy's In Love With You Pare,0,196000,72VBk3SEsEFPF948CmkHT4,Chito Miranda,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
2lAS3EhNi0IRc7N5SipURT,Atomica,35,296880,15JvurCmjijcX51RSwsSFc,Wolfgang,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,58,328533,6Ww3OMFzCaO33ulKh1LBFN,Hale,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
4JSDhJVmo2UqdF7nxbyenn,Kung Wala Ka,62,242800,6Ww3OMFzCaO33ulKh1LBFN,Hale,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
7agZ3tkaEnD8nc8BHxafID,Pagsubok,46,211933,4VlABeMf02Y3Wxibet2iZ8,Orient Pearl,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
4eSjdUXB2gMuzhjcpjAyl6,Kasalanan,42,244160,4VlABeMf02Y3Wxibet2iZ8,Orient Pearl,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
0h2EjjiyfRUuTQxQJiErD3,Syota ng Bayan,0,240040,3oP7ApvM9dvIXP6AufxCxt,Grin Department,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
5ek13VMULkIk8ysJrTZTrq,Paglisan,44,317880,0rxVEH8yyRYbuwYSioqIFb,Color It Red,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
22lpuZ2ZvLtLAwrvu8xgit,Parting Time,0,209666,6TW5QY1SQ78SdvbemwC4FN,Rockstar,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
685SbROnR1PVxmFDevJghB,Mahal Pa Rin Kita,0,295600,6TW5QY1SQ78SdvbemwC4FN,Rockstar,1,5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's
