popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,is_top200,predicted_top200,predicted_top200_prob
6,0.5770000000000001,0.477,3,-8.338,1,0.0458,0.488,0.0,0.0715,0.335,123.905,0,0,1.0
32,0.6409999999999999,0.855,9,-5.052,1,0.0338,0.118,0.16699999999999998,0.162,0.711,124.049,0,0,1.0
55,0.732,0.462,5,-7.962999999999999,1,0.0363,0.903,0.0,0.17600000000000002,0.518,121.061,0,0,0.8
10,0.73,0.35100000000000003,5,-13.876,0,0.0507,0.508,0.0,0.106,0.417,117.559,0,0,0.6
34,0.632,0.638,0,-6.862,1,0.0521,0.109,0.0,0.131,0.516,124.905,0,0,0.8
8,0.662,0.163,1,-14.616,0,0.0454,0.863,0.0,0.117,0.179,127.797,0,0,0.6
0,0.862,0.257,9,-14.345,0,0.187,0.8,7.02e-06,0.0805,0.5589999999999999,119.986,0,0,0.8
43,0.823,0.308,2,-15.656,1,0.0437,0.343,0.853,0.0703,0.298,119.962,0,0,0.8
37,0.628,0.757,3,-8.222000000000001,1,0.0313,0.358,0.00815,0.08199999999999999,0.6940000000000001,125.031,0,0,1.0
28,0.743,0.474,8,-10.558,1,0.0317,0.106,7.11e-05,0.109,0.496,120.01,0,0,0.8
3,0.7070000000000001,0.21,1,-15.675999999999998,1,0.132,0.911,5.57e-06,0.0943,0.316,127.859,0,0,0.6
0,0.769,0.2,10,-13.617,1,0.0535,0.3670000000000001,0.0436,0.177,0.304,122.069,0,0,0.8
8,0.7829999999999999,0.173,0,-14.043,1,0.0428,0.523,6.15e-05,0.0742,0.266,120.046,0,0,0.8
22,0.4370000000000001,0.277,2,-11.883,1,0.032,0.883,0.198,0.0849,0.224,124.265,0,0,1.0
45,0.454,0.287,7,-10.121,1,0.033,0.8240000000000001,0.0,0.0914,0.232,123.111,0,0,0.8
41,0.777,0.463,6,-6.477,0,0.0349,0.54,0.0,0.0839,0.5870000000000001,120.017,0,0,0.8
